bits,numberCount,run_id,part1_time,part1_pct,part2_time,part2_pct,part3_time,part3_pct,avg_time
1,350000000,2,1.75780131,24.43145409,1.8e-06,2.507e-05,5.43702072,75.56845104,
1,350000000,3,1.75242948,24.38553327,1.22e-06,1.7e-05,5.43391313,75.61438054,
1,350000000,4,1.75692606,24.40463076,2.18e-06,3.021e-05,5.44221776,75.59527879,
1,350000000,5,1.75325296,24.39802626,1.46e-06,2.035e-05,5.43278518,75.60188899,
1,350000000,avg,1.75468094,24.40389083,1.57e-06,2.188e-05,5.43548139,75.59601951,
1,350000000,avg,,,,,,,7.190169
1,370000000,1,1.86879999,24.59623983,1.18e-06,1.557e-05,5.72910052,75.40364443,
1,370000000,2,1.8705257,24.61792804,2.08e-06,2.743e-05,5.72769209,75.38196967,
1,370000000,3,1.87223776,24.65499018,1.18e-06,1.56e-05,5.72150298,75.34491754,
1,370000000,4,1.87332423,24.64314333,2.34e-06,3.082e-05,5.72847467,75.35674829,
1,370000000,5,1.86674122,24.59068422,1.17e-06,1.542e-05,5.72450455,75.40921154,
1,370000000,avg,1.87032578,24.62060088,1.59e-06,2.097e-05,5.72625496,75.37929453,
1,370000000,avg,,,,,,,7.596589
1,390000000,1,1.9670257,24.57832859,1.2e-06,1.501e-05,6.03605595,75.42156993,
1,390000000,2,1.97310905,24.63215335,1.42e-06,1.778e-05,6.03718236,75.36775623,
1,390000000,3,1.96273705,24.52213566,1.09e-06,1.363e-05,6.04119612,75.47777787,
1,390000000,4,1.97327534,24.61235103,1.61e-06,2.013e-05,6.04413589,75.38755036,
1,390000000,5,1.96627329,24.55942301,1.08e-06,1.35e-05,6.03990739,75.44050031,
1,390000000,avg,1.96848409,24.58089592,1.28e-06,1.601e-05,6.03969554,75.41901335,
1,390000000,avg,,,,,,,8.008187
1,410000000,1,2.07376976,24.60036937,1.46e-06,1.737e-05,6.35605383,75.39953333,
1,410000000,2,2.07994026,24.66090359,1.56e-06,1.853e-05,6.354213,75.33900711,
1,410000000,3,2.07271626,24.63178258,1.24e-06,1.476e-05,6.34208099,75.36813542,
1,410000000,4,2.08393958,24.73709304,1.91e-06,2.262e-05,6.34040335,75.26280958,
1,410000000,5,2.07409812,24.62461986,1.2e-06,1.427e-05,6.34875907,75.37530511,
1,410000000,avg,2.0768928,24.6509547,1.48e-06,1.751e-05,6.34830205,75.3489571,
1,410000000,avg,,,,,,,8.425202
1,430000000,1,2.15145116,24.36763315,1.71e-06,1.941e-05,6.67767515,75.63227144,
1,430000000,2,2.16067093,24.43527719,2.01e-06,2.278e-05,6.68174688,75.5646476,
1,430000000,3,2.15141139,24.35945262,1.97e-06,2.234e-05,6.68051833,75.64047059,
1,430000000,4,2.17337687,24.52438979,3.02e-06,3.407e-05,6.68871764,75.47550596,
1,430000000,5,2.16529424,24.54371216,1.49e-06,1.693e-05,6.65689388,75.45620562,
